"Maps:IO.SFac:Rep:IO.FBuf:Comp:Blk.size","Variance","Benchmarks","Missing"
"12: 10:1: 65536:None:  0",229540.677777778,10,""
"12: 20:3:131072:None:128",228836.566666667,6,"dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join"
"12: 20:3: 65536:None:128",228797.766666667,6,"dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join"
"12: 10:3: 65536:None:128",226961.066666667,6,"dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join"
"12: 20:3: 32768:None:128",222171.5,6,"dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join"
"12: 10:1: 65536:None:256",221524.622222222,10,""
"12: 10:3:  4096:None: 64",216583.066666667,6,"dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join"
"12:  5:1:  4096:None: 32",215753.866666667,6,"dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join"
"12: 50:3:  4096:None: 64",213203.2,6,"dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join"
"12: 20:3: 65536:None: 64",211884.566666667,6,"dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join"
"12: 20:3:  4096:None: 64",211155.9,6,"dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join"
"12: 20:3: 32768:None: 64",209172.566666667,6,"dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join"
"12: 50:1:  4096:None:128",208334.966666667,6,"dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join"
"12: 50:3: 65536:None: 64",203244.566666667,6,"dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join"
"12: 50:3:131072:None: 64",202715.366666667,6,"dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join"
"24: 10:1:  4096:None:  0",199478.011111111,10,""
"12: 10:1: 65536:BZIP2:  0",184584.916666667,4,"bayes,hivebench_agregation,kmeans,pagerank,sort,wordcount"
"12: 20:3:131072:None: 64",180247.466666667,6,"dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join"
"16: 10:1: 65536:None: 64",124213.366666667,6,"bayes,hivebench_agregation,hivebench_join,pagerank"
"12: 10:2: 65536:ZLIB: 64",88728.8,6,"bayes,hivebench_agregation,hivebench_join,pagerank"
"16: 10:1: 65536:ZLIB: 64",87336.1666666667,6,"bayes,hivebench_agregation,hivebench_join,pagerank"
"12: 10:2: 65536:None: 64",77614.2,5,"bayes,dfsioe_read,hivebench_agregation,hivebench_join,pagerank"
"12: 50:3: 32768:None:128",76512.3333333333,3,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,pagerank,sort"
"12: 10:3: 65536:ZLIB: 64",64837.4666666667,6,"bayes,hivebench_agregation,hivebench_join,pagerank"
"16: 10:2: 65536:None: 64",62979.4666666667,6,"bayes,hivebench_agregation,hivebench_join,pagerank"
"24: 10:1: 65536:ZLIB: 64",54653.9,6,"bayes,hivebench_agregation,hivebench_join,pagerank"
"16: 10:2: 65536:ZLIB: 64",50383.0666666667,6,"bayes,hivebench_agregation,hivebench_join,pagerank"
"24: 10:3: 65536:ZLIB: 64",47367.3666666667,6,"bayes,hivebench_agregation,hivebench_join,pagerank"
"24: 10:2: 65536:ZLIB: 64",38652.3,6,"bayes,hivebench_agregation,hivebench_join,pagerank"
"24: 10:2: 65536:None: 64",31655.8666666667,6,"bayes,hivebench_agregation,hivebench_join,pagerank"
"24: 10:3: 65536:None: 64",31158.8,6,"bayes,hivebench_agregation,hivebench_join,pagerank"
"16: 10:3: 65536:ZLIB: 64",21952,6,"bayes,hivebench_agregation,hivebench_join,pagerank"
"16: 10:3: 65536:None: 64",13085.2,6,"bayes,hivebench_agregation,hivebench_join,pagerank"
"12:100:1: 65536:None:  0",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"12:100:2: 65536:None:  0",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"12:100:3: 65536:None:  0",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"12: 10:2: 65536:None:  0",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"12: 10:3: 65536:None:  0",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"12: 50:1: 65536:None: 64",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"12: 50:3:131072:None: 32",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"12: 50:3: 32768:None:256",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"12: 50:3: 32768:None: 64",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"12:  5:3:131072:None:128",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"12:  5:3:131072:None:256",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"12:  5:3:131072:None: 32",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"12:  5:3:131072:None: 64",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"12:  5:3: 32768:None:128",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
