"Maps:IO.SFac:Rep:IO.FBuf:Comp:Blk.size","Variance","Benchmarks","Missing"
"10: 10:2: 65536:Snappy: 64",773948.476190476,7,"bayes,hivebench_agregation,hivebench_join"
"12: 50:1:131072:None:256",763113.466666667,6,"dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join"
"10: 10:2: 65536:None:256",762194.333333333,7,"bayes,hivebench_agregation,hivebench_join"
"10: 10:2: 65536:BZIP2:128",742119,7,"bayes,hivebench_agregation,hivebench_join"
"10: 10:2: 65536:ZLIB:128",735210.571428571,7,"bayes,hivebench_agregation,hivebench_join"
"10: 10:2: 65536:BZIP2:256",727796.619047619,7,"bayes,hivebench_agregation,hivebench_join"
"12: 50:1: 65536:None:256",700536.666666667,4,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,pagerank"
"12:  5:1:131072:None: 32",690883.6,6,"dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join"
"10: 10:2: 65536:None:128",690413.285714286,7,"bayes,hivebench_agregation,hivebench_join"
"10: 10:2: 65536:Snappy:128",686803.476190476,7,"bayes,hivebench_agregation,hivebench_join"
"12: 10:1: 65536:ZLIB:  0",684909.155555556,10,""
"12: 50:1: 32768:None:128",670582,6,"dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join"
"10: 10:2: 65536:Snappy:256",666650.952380952,7,"bayes,hivebench_agregation,hivebench_join"
"12: 10:3:  4096:None:256",657740.566666667,6,"dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join"
"12: 50:1:131072:None: 64",614357.2,6,"dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join"
"12: 20:1: 65536:None:128",600629.583333333,4,"dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,wordcount"
"12: 20:1: 65536:None: 64",598787.5,6,"dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join"
"12: 10:3:  4096:None:128",592144.7,6,"dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join"
"12: 10:1: 32768:None:256",576380.666666667,6,"dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join"
"12: 50:1: 32768:None: 32",566074.966666667,6,"dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join"
"12:  5:1: 32768:None:128",557494.7,6,"dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join"
"12:  5:1: 65536:None: 32",541782,6,"dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join"
"12: 50:1: 65536:None:128",540282.566666667,6,"dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join"
"12:  5:1: 65536:None:256",529793.9,6,"dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join"
"12: 50:1: 32768:None:256",529316.966666667,6,"dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join"
"12: 20:1:131072:None: 32",528509.066666667,6,"dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join"
"12:  5:1:  4096:None: 64",522714.666666667,6,"dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join"
"12: 10:1:  4096:None: 64",512068.266666667,6,"dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join"
"12: 50:1:131072:None: 32",503201.066666667,6,"dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join"
"12: 10:1: 32768:None:128",499931.766666667,6,"dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join"
"12: 20:1: 32768:None: 32",492140.266666667,6,"dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join"
"12: 10:3:  4096:None: 32",484926.8,6,"dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join"
"12: 20:1: 32768:None:256",483742.566666667,6,"dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join"
"12: 10:1: 32768:None: 32",473439.466666667,6,"dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join"
"12: 20:1:  4096:None:128",470084.4,6,"dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join"
"12: 20:1: 65536:None:256",466242.666666667,6,"dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join"
"12: 20:1: 32768:None:128",425909.1,6,"dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join"
"12: 10:1:131072:None: 32",417029.466666667,6,"dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join"
"12: 10:1:131072:None: 64",404446.3,6,"dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join"
"12:  5:1: 65536:None:128",401594.966666667,6,"dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join"
"12:  5:1:131072:None:256",398411.866666667,6,"dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join"
"12:  5:1: 65536:None: 64",394701.366666667,6,"dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join"
"12: 20:1:131072:None: 64",377798.3,6,"dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join"
"12: 20:1:131072:None:256",374629.466666667,6,"dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join"
"12: 10:1:131072:None:128",360552.3,6,"dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join"
"12: 10:1:  4096:None:256",359709.1,6,"dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join"
"12: 20:1:  4096:None: 32",354634.966666667,6,"dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join"
"12: 20:1:  4096:None:256",350139.766666667,6,"dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join"
"12: 20:1:  4096:None: 64",331332.666666667,6,"dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join"
"12: 10:1:131072:None:256",321303.066666667,6,"dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join"
"12: 50:1: 65536:None: 32",320338.8,6,"dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join"
"12:  5:1:  4096:None:256",318527.6,6,"dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join"
"12:  5:1:131072:None: 64",314520.966666667,6,"dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join"
"12: 20:1:131072:None:128",305938.166666667,6,"dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join"
"12: 50:3:  4096:None:256",297540.566666667,6,"dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join"
"12: 10:1: 65536:ZLIB: 64",294708.214285714,8,"hivebench_agregation,hivebench_join"
"12:  5:1:131072:None:128",292047.066666667,6,"dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join"
"12: 20:1: 65536:None: 32",284318.4,6,"dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join"
"12: 50:3:131072:None:128",282844.3,5,"dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans"
"12: 10:1: 65536:None: 32",277382.677777778,10,""
"12: 50:1:  4096:None:256",277144.266666667,6,"dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join"
"12: 50:3: 65536:None:128",276715.9,6,"dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join"
"12: 10:1: 65536:Snappy:  0",275114.916666667,4,"bayes,hivebench_agregation,kmeans,pagerank,sort,wordcount"
"12: 50:3: 32768:None: 32",274602.8,6,"dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join"
"12: 10:1:  4096:None: 32",272807.2,6,"dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join"
"12: 50:3:  4096:None:128",271827.366666667,6,"dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join"
"12: 20:3: 32768:None:256",263866.566666667,6,"dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join"
"12: 10:1:  4096:None:128",262672.666666667,6,"dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join"
"12: 10:1: 65536:None: 64",259039.066666667,10,""
"12: 20:3: 65536:None:256",257604.966666667,6,"dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join"
"12: 50:3:131072:None:256",254117.5,6,"dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join"
"12: 20:3:  4096:None: 32",253915.066666667,6,"dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join"
"12: 20:3: 65536:None: 32",252403.766666667,6,"dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join"
